asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE
2371,2017-09-30T21:11:30Z, , , , , , , 
2371,2017-09-30T21:13:30Z, , , , , , , 
2371,2017-09-30T21:14:52Z, , , , , , , 
2371,2017-10-01T04:44:20Z, , , , , , , 
2371,2017-10-01T04:44:20Z, , , , , , , 
2371,2017-10-01T04:44:24Z, , ,1247, , , , 
2371,2017-10-01T04:44:25Z,1, , , , , , 
2371,2017-10-01T04:44:26Z,14, ,2089, , , , 
2371,2017-10-01T04:44:26Z, , , , , , , 
2371,2017-10-01T04:44:26Z, , , , , , , 
2371,2017-10-01T04:44:27Z,19, , , , , , 
2371,2017-10-01T04:44:28Z,29, , , , , , 
2371,2017-10-01T04:44:34Z,40, ,2239, ,2852065, , 
2371,2017-10-01T04:44:35Z,44,23382,2077, ,2852073, , 
2371,2017-10-01T04:44:35Z, , , , , , , 
2371,2017-10-01T04:44:38Z, , , , , , , 
2371,2017-10-01T04:44:40Z,15,15920, , ,2852082,8534881, 
2371,2017-10-01T04:44:42Z,27,11078,2625, ,2852087,8534920, 
2371,2017-10-01T04:45:04Z, , , , , , , 
2371,2017-10-01T04:45:07Z,22,9816,916,44,2852135,8535251, 
2371,2017-10-01T04:45:20Z, , , , , , , 
2371,2017-10-01T04:45:25Z,31,16514,2538,13,2852182,8535414, 
2371,2017-10-01T04:45:44Z, , , , , , , 
2371,2017-10-01T04:45:48Z,3,0,851, ,2852231,8535684,37154
2371,2017-10-01T04:46:22Z, , , , , , , 
2371,2017-10-01T04:46:25Z,7,92,762,14,2852285,8535994, 
2371,2017-10-01T04:48:26Z,1,0,745,28,2852389,8536741,37155
2371,2017-10-01T04:50:26Z,49,26709,1406, ,2852512,8537940,37156
2371,2017-10-01T04:52:26Z,21,11433,1334,21,2852609,8538381,37157
2371,2017-10-01T04:52:36Z,43,23408,1799, ,2852616,8538449, 
2371,2017-10-01T04:52:45Z,49,26418,1353, ,2852631,8538547, 
2371,2017-10-01T04:53:25Z, , , , , , , 
2371,2017-10-01T04:53:28Z,46,25172,1343,12,2852732,8539355, 
2371,2017-10-01T04:55:24Z,55,29953,1601,36,2852830,8540263,37158
2371,2017-10-01T04:55:26Z,54,29778,1526, ,2852832,8540323, 
2371,2017-10-01T04:55:52Z, , , , , , , 
2371,2017-10-01T04:55:56Z,43,22319,2068,57,2852864,8540738,37159
2371,2017-10-01T04:56:31Z,34,19178,1514,38,2852936,8541099, 
2371,2017-10-01T04:56:32Z, , , , ,2852939, , 
2371,2017-10-01T04:56:33Z,29,16204, , ,2852941, , 
2371,2017-10-01T04:56:50Z,10,7005,867, ,2852959,8541180, 
2371,2017-10-01T04:56:53Z,6,4782, ,29,2852960, , 
2371,2017-10-01T04:56:56Z, ,0,1536, ,2852961,8541192, 
2371,2017-10-01T04:56:58Z,9,4572, , ,2852962,8541195, 
2371,2017-10-01T04:57:46Z,3,0,939, ,2852983,8541201, 
2371,2017-10-01T04:57:46Z, , , , , , , 
2371,2017-10-01T04:57:47Z, , , , , , , 
2371,2017-10-01T04:57:47Z, , , , , , , 
2371,2017-10-01T04:57:47Z, , , , , , , 
2371,2017-10-01T04:57:47Z, , , , , , , 
2371,2017-10-01T04:57:47Z, , , , , , , 
2371,2017-10-01T05:04:29Z, , , , , , , 
2371,2017-10-01T05:06:30Z, , , , , , , 
2371,2017-10-01T05:07:46Z, , , , , , , 
2371,2017-10-02T05:08:31Z, , , , , , , 
2371,2017-10-02T05:08:31Z, , , , , , , 
2371,2017-10-02T05:08:35Z, , , , , , , 
2371,2017-10-02T05:08:35Z, , , , , , , 
2371,2017-10-02T05:10:35Z, , , , , , , 
2371,2017-10-02T05:12:35Z, ,120, , , , , 
2371,2017-10-02T05:14:36Z, ,0, , , , , 
2371,2017-10-02T13:55:20Z,74, ,1530,54,2859695, ,37247
2371,2017-10-02T13:55:40Z,66, ,1423,51,2859706, , 
2371,2017-10-02T13:55:41Z,67, , , ,2859707, , 
2371,2017-10-02T13:55:53Z,68, ,1396, ,2859727, ,37248
2371,2017-10-02T13:55:54Z,69, , , ,2859732, , 
2371,2017-10-02T13:55:56Z, , ,1930, ,2859739, , 
2371,2017-10-02T13:55:57Z, ,27139, , ,2859743, , 
2371,2017-10-02T13:55:57Z, , , , , , , 
2371,2017-10-02T13:55:57Z, , , , , , , 
2371,2017-10-02T13:56:33Z, ,39997,1570,11,2859807,8628294, 
2371,2017-10-02T13:56:34Z, ,38831, , , , , 
2371,2017-10-02T13:56:41Z,81,42109,2205, ,2859809,8628453,37249
2371,2017-10-02T13:56:43Z,83,45148, , , , , 
2371,2017-10-02T13:56:53Z,92, ,1970, ,2859838,8628519, 
2371,2017-10-02T13:57:34Z,96, ,1961,69,2859890, ,37250
2371,2017-10-02T13:57:36Z,97,50544,2012, ,2859897, , 
2371,2017-10-02T13:57:36Z, , , , , , , 
2371,2017-10-02T13:57:39Z,98,54182, , ,2859906,8629948, 
2371,2017-10-02T13:57:40Z, ,53847,2043, , , , 
2371,2017-10-02T13:58:23Z,97,53050,2026,75,2860006,8631052,37251
2371,2017-10-02T13:58:49Z,99,53682,2052,55,2860059,8631833,37252
2371,2017-10-02T13:59:01Z,96,53045,2038, ,2860095,8632184, 
2371,2017-10-02T13:59:05Z,97,52822, ,38,2860101, , 
2371,2017-10-02T13:59:15Z,98, ,2062, ,2860114,8632291,37253
2371,2017-10-02T14:00:22Z,100, ,2074,47,2860236, ,37254
2371,2017-10-02T14:00:23Z, , , , ,2860239, , 
2371,2017-10-02T14:00:30Z,99, ,2111, ,2860258, ,37255
2371,2017-10-02T14:00:50Z,101, ,2067,37,2860304, , 
2371,2017-10-02T14:00:54Z, , ,2094, ,2860312, , 
2371,2017-10-02T14:00:55Z, , , , ,2860318, , 
2371,2017-10-02T14:01:24Z,99, ,2071,64,2860375, ,37256
2371,2017-10-02T14:01:25Z,98, , , ,2860377, , 
2371,2017-10-02T14:01:26Z,99,53192, , ,2860379, , 
2371,2017-10-02T14:01:26Z, , , , , , , 
2371,2017-10-02T14:01:27Z, , ,2062, , ,8636209, 
2371,2017-10-02T14:01:28Z, ,53837, , ,2860381, , 
2371,2017-10-02T14:01:30Z, ,53815, , ,2860384, , 
2371,2017-10-02T14:01:33Z, , ,2060,61,2860389,8636286, 
2371,2017-10-02T14:01:34Z, , , , ,2860392, , 
2371,2017-10-02T14:01:40Z,98, ,2080, ,2860407, ,37257
2371,2017-10-02T14:02:19Z,96, ,1993,49,2860479, ,37258
2371,2017-10-02T14:02:20Z, , , , ,2860481, , 
2371,2017-10-02T14:04:00Z,85, ,1837,47,2860704, ,37261
2371,2017-10-02T14:04:02Z,80, , , ,2860706, , 
2371,2017-10-02T14:04:03Z, , ,1715, ,2860707, , 
2371,2017-10-02T14:04:04Z,81,43307, ,100,2860709, , 
2371,2017-10-02T14:04:04Z, , , , , , , 
2371,2017-10-02T14:04:04Z, , , , , , , 
2371,2017-10-02T14:04:07Z,84, , , , ,8640659, 
2371,2017-10-02T14:04:11Z, , ,1745, ,2860729,8640754, 
2371,2017-10-02T14:04:16Z, ,44514,1758, ,2860740, , 
2371,2017-10-02T14:04:16Z, , , , , , , 
2371,2017-10-02T14:04:18Z,82,38977,1661, ,2860742,8640899, 
2371,2017-10-02T14:04:19Z,80,44326, , ,2860743, , 
2371,2017-10-02T14:04:24Z,76,43122,1758, ,2860748,8640985, 
2371,2017-10-02T14:04:25Z,75,40854, , ,2860749, , 
2371,2017-10-02T14:04:30Z,61,33986,1316, ,2860752,8641166, 
2371,2017-10-02T14:04:35Z,56,32810,1532,11,2860754,8641233, 
2371,2017-10-02T14:04:41Z,23, ,1254, ,2860756,8641250, 
2371,2017-10-02T14:04:42Z,13,0, , , , , 
2371,2017-10-02T14:04:43Z,4, , , ,2860757, , 
2371,2017-10-02T14:04:46Z,0,10765,790, , ,8641342, 
2371,2017-10-02T14:04:56Z, , ,714, ,2860760, ,37262
2371,2017-10-02T14:05:37Z,16, ,1031,41,2860772, , 
2371,2017-10-02T14:05:38Z,18, , , ,2860773, , 
2371,2017-10-02T14:06:11Z,59, ,1744,39,2860820, , 
2371,2017-10-02T14:06:13Z,62,34421, , ,2860822, , 
2371,2017-10-02T14:06:13Z, , , , , , , 
2371,2017-10-02T14:06:13Z, , , , , , , 
2371,2017-10-02T14:06:15Z,66, ,1864, ,2860824,8641825, 
2371,2017-10-02T14:06:16Z, , , , ,2860826, , 
2371,2017-10-02T14:06:26Z,77, ,1612, ,2860849,8641885, 
2371,2017-10-02T14:07:51Z,47, ,1825,11,2860952, ,37264
2371,2017-10-02T14:08:04Z,70, ,1834, ,2860978, , 
2371,2017-10-02T14:08:29Z,78, ,1651,61,2861033, , 
2371,2017-10-02T14:08:30Z, , , , ,2861035, ,37265
2371,2017-10-02T14:09:15Z,69, ,1500,31,2861075, , 
2371,2017-10-02T14:10:48Z,66, ,1867, ,2861173, ,37267
2371,2017-10-02T14:11:34Z,80, ,1671,61,2861233, ,37268
2371,2017-10-02T14:13:28Z,66, ,1363,39,2861393, ,37270
2371,2017-10-02T14:14:13Z,82, ,1692,58,2861465, ,37271
2371,2017-10-02T14:16:09Z,79, ,1708,31,2861674, ,37274
2371,2017-10-02T14:17:02Z,54, ,1625,38,2861775, ,37275
2371,2017-10-02T14:17:06Z,58, ,1654, ,2861780, , 
2371,2017-10-02T14:18:25Z,68, ,1986,98,2861924, ,37277
2371,2017-10-02T14:18:26Z,69, ,1440, ,2861927, , 
2371,2017-10-02T14:18:30Z, , , , ,2861936, , 
2371,2017-10-02T14:18:31Z,70, ,1444, ,2861938, , 
2371,2017-10-02T14:18:37Z,71, ,1530,85,2861944, , 
2371,2017-10-02T14:18:39Z,72, , , ,2861946, , 
2371,2017-10-02T14:18:46Z,73, ,1585, ,2861954, , 
2371,2017-10-02T14:18:47Z, , , , ,2861956, , 
2371,2017-10-02T14:18:58Z,70, ,1479, ,2861968, , 
2371,2017-10-02T14:19:44Z,48, ,1422,11,2862007, ,37278
2371,2017-10-02T14:19:47Z, , ,1329, ,2862008, , 
2371,2017-10-02T14:19:48Z,47, , , , , , 
2371,2017-10-02T14:20:09Z,6, ,849,48,2862016, , 
2371,2017-10-02T14:20:11Z,2, , , ,2862017, , 
2371,2017-10-02T14:20:17Z,23, ,2331, ,2862022, , 
2371,2017-10-02T14:20:18Z,26, , , ,2862023, , 
2371,2017-10-02T14:20:22Z,36, ,1575, ,2862028, , 
2371,2017-10-02T14:20:29Z, , ,1594, ,2862035, ,37279
2371,2017-10-02T14:21:16Z,49, ,1475,51,2862078, , 
2371,2017-10-02T14:21:18Z,36, ,1433, ,2862079, , 
2371,2017-10-02T14:22:52Z,64, ,1791,24,2862186, ,37280
2371,2017-10-02T14:22:53Z, , ,1811, , , , 
2371,2017-10-02T14:22:58Z,63, ,1756, ,2862192, , 
2371,2017-10-02T14:23:00Z,62, , , ,2862194, , 
2371,2017-10-02T14:24:28Z,74, ,1547,52,2862281, ,37282
2371,2017-10-02T14:24:29Z,73, ,1542, , , , 
2371,2017-10-02T14:25:47Z,81, ,1687,35,2862401, ,37284
2371,2017-10-02T14:25:49Z,80, , , ,2862403, , 
2371,2017-10-02T14:26:52Z,82, ,2279,95,2862552, ,37285
2371,2017-10-02T14:26:53Z, , , , ,2862556, , 
2371,2017-10-02T14:27:24Z,75, ,1555,12,2862588, ,37286
2371,2017-10-02T14:28:38Z,79, ,1666,36,2862712, ,37287
2371,2017-10-02T14:28:48Z, , ,1768, ,2862725, ,37288
2371,2017-10-02T14:29:02Z,81, ,1687, ,2862746, , 
2371,2017-10-02T14:29:04Z,82, , , ,2862748, , 
2371,2017-10-02T14:29:05Z,83, , , ,2862749, , 
2371,2017-10-02T14:29:06Z,84, ,1736, ,2862750, , 
2371,2017-10-02T14:29:17Z,77, ,1596,8,2862758, , 
2371,2017-10-02T14:29:24Z,74, ,1644, ,2862763, ,37289
2371,2017-10-02T14:29:25Z,73, , , ,2862764, , 
2371,2017-10-02T14:29:48Z,66, ,1372,15,2862787, , 
2371,2017-10-02T14:29:49Z, , , , , , , 
2371,2017-10-02T14:31:45Z,51, ,1420,18,2862903, ,37291
2371,2017-10-02T14:32:13Z,57, ,1619,15,2862912, , 
2371,2017-10-02T14:32:14Z,58, , , ,2862913, , 
2371,2017-10-02T14:32:17Z, , , , ,2862914, , 
2371,2017-10-02T14:32:21Z,59, ,1621, ,2862921, , 
2371,2017-10-02T14:32:40Z,66, ,1870,50,2862957, ,37292
2371,2017-10-02T14:32:41Z,67, , , ,2862959, , 
2371,2017-10-02T14:32:44Z,69, ,1922, ,2862965, , 
2371,2017-10-02T14:32:48Z,73, ,1545, ,2862972, , 
2371,2017-10-02T14:32:49Z,75, , , ,2862974, , 
2371,2017-10-02T14:32:50Z,76, , , ,2862976, , 
2371,2017-10-02T14:32:51Z,77, , , ,2862978, , 
2371,2017-10-02T14:32:52Z,78, , , ,2862980, , 
2371,2017-10-02T14:32:53Z,79, ,1663, ,2862982, , 
2371,2017-10-02T14:33:22Z,68,38335,1464,43,2863026, , 
2371,2017-10-02T14:33:22Z, , , , , , , 
2371,2017-10-02T14:33:42Z,76,41877,1591,10,2863043,8667788,37293
2371,2017-10-02T14:33:43Z, ,42079,1574, ,2863044, , 
2371,2017-10-02T14:33:44Z, , , , , , , 
2371,2017-10-02T14:33:46Z, ,41445, , , ,8667872, 
