asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE
2371,2017-09-30T21:11:30Z, , , , , , , 
2371,2017-09-30T21:13:30Z, , , , , , , 
2371,2017-09-30T21:14:52Z, , , , , , , 
2371,2017-10-01T04:44:20Z, , , , , , , 
2371,2017-10-01T04:44:20Z, , , , , , , 
2371,2017-10-01T04:44:24Z, , ,1247, , , , 
2371,2017-10-01T04:44:25Z,1, ,%1247%, , , , 
2371,2017-10-01T04:44:26Z,14, ,2089, , , , 
2371,2017-10-01T04:44:26Z,%14%, ,%2089%, , , , 
2371,2017-10-01T04:44:26Z,%14%, ,%2089%, , , , 
2371,2017-10-01T04:44:27Z,19, ,%2089%, , , , 
2371,2017-10-01T04:44:28Z,29, ,%2089%, , , , 
2371,2017-10-01T04:44:34Z,40, ,2239, ,2852065, , 
2371,2017-10-01T04:44:35Z,44,23382,2077, ,2852073, , 
2371,2017-10-01T04:44:35Z,%44%,%23382%,%2077%, ,%2852073%, , 
2371,2017-10-01T04:44:38Z,%44%,%23382%,%2077%, ,%2852073%, , 
2371,2017-10-01T04:44:40Z,15,15920,%2077%, ,2852082,8534881, 
2371,2017-10-01T04:44:42Z,27,11078,2625, ,2852087,8534920, 
2371,2017-10-01T04:45:04Z,%27%,%11078%,%2625%, ,%2852087%,%8534920%, 
2371,2017-10-01T04:45:07Z,22,9816,916,44,2852135,8535251, 
2371,2017-10-01T04:45:20Z,%22%,%9816%,%916%,%44%,%2852135%,%8535251%, 
2371,2017-10-01T04:45:25Z,31,16514,2538,13,2852182,8535414, 
2371,2017-10-01T04:45:44Z,%31%,%16514%,%2538%,%13%,%2852182%,%8535414%, 
2371,2017-10-01T04:45:48Z,3,0,851,%13%,2852231,8535684,37154
2371,2017-10-01T04:46:22Z,%3%,%0%,%851%,%13%,%2852231%,%8535684%,%37154%
2371,2017-10-01T04:46:25Z,7,92,762,14,2852285,8535994,%37154%
2371,2017-10-01T04:48:26Z,1,0,745,28,2852389,8536741,37155
2371,2017-10-01T04:50:26Z,49,26709,1406,%28%,2852512,8537940,37156
2371,2017-10-01T04:52:26Z,21,11433,1334,21,2852609,8538381,37157
2371,2017-10-01T04:52:36Z,43,23408,1799,%21%,2852616,8538449,%37157%
2371,2017-10-01T04:52:45Z,49,26418,1353,%21%,2852631,8538547,%37157%
2371,2017-10-01T04:53:25Z,%49%,%26418%,%1353%,%21%,%2852631%,%8538547%,%37157%
2371,2017-10-01T04:53:28Z,46,25172,1343,12,2852732,8539355,%37157%
2371,2017-10-01T04:55:24Z,55,29953,1601,36,2852830,8540263,37158
2371,2017-10-01T04:55:26Z,54,29778,1526,%36%,2852832,8540323,%37158%
2371,2017-10-01T04:55:52Z,%54%,%29778%,%1526%,%36%,%2852832%,%8540323%,%37158%
2371,2017-10-01T04:55:56Z,43,22319,2068,57,2852864,8540738,37159
2371,2017-10-01T04:56:31Z,34,19178,1514,38,2852936,8541099,%37159%
2371,2017-10-01T04:56:32Z,%34%,%19178%,%1514%,%38%,2852939,%8541099%,%37159%
2371,2017-10-01T04:56:33Z,29,16204,%1514%,%38%,2852941,%8541099%,%37159%
2371,2017-10-01T04:56:50Z,10,7005,867,%38%,2852959,8541180,%37159%
2371,2017-10-01T04:56:53Z,6,4782,%867%,29,2852960,%8541180%,%37159%
2371,2017-10-01T04:56:56Z,%6%,0,1536,%29%,2852961,8541192,%37159%
2371,2017-10-01T04:56:58Z,9,4572,%1536%,%29%,2852962,8541195,%37159%
2371,2017-10-01T04:57:46Z,3,0,939,%29%,2852983,8541201,%37159%
2371,2017-10-01T04:57:46Z,%3%,%0%,%939%,%29%,%2852983%,%8541201%,%37159%
2371,2017-10-01T04:57:47Z,%3%,%0%,%939%,%29%,%2852983%,%8541201%,%37159%
2371,2017-10-01T04:57:47Z,%3%,%0%,%939%,%29%,%2852983%,%8541201%,%37159%
2371,2017-10-01T04:57:47Z,%3%,%0%,%939%,%29%,%2852983%,%8541201%,%37159%
2371,2017-10-01T04:57:47Z,%3%,%0%,%939%,%29%,%2852983%,%8541201%,%37159%
2371,2017-10-01T04:57:47Z,%3%,%0%,%939%,%29%,%2852983%,%8541201%,%37159%
2371,2017-10-01T05:04:29Z, , , , , , , 
2371,2017-10-01T05:06:30Z, , , , , , , 
2371,2017-10-01T05:07:46Z, , , , , , , 
2371,2017-10-02T05:08:31Z, , , , , , , 
2371,2017-10-02T05:08:31Z, , , , , , , 
2371,2017-10-02T05:08:35Z, , , , , , , 
2371,2017-10-02T05:08:35Z, , , , , , , 
2371,2017-10-02T05:10:35Z, , , , , , , 
2371,2017-10-02T05:12:35Z, ,120, , , , , 
2371,2017-10-02T05:14:36Z, ,0, , , , , 
2371,2017-10-02T13:55:20Z,74, ,1530,54,2859695, ,37247
2371,2017-10-02T13:55:40Z,66, ,1423,51,2859706, ,%37247%
2371,2017-10-02T13:55:41Z,67, ,%1423%,%51%,2859707, ,%37247%
2371,2017-10-02T13:55:53Z,68, ,1396,%51%,2859727, ,37248
2371,2017-10-02T13:55:54Z,69, ,%1396%,%51%,2859732, ,%37248%
2371,2017-10-02T13:55:56Z,%69%, ,1930,%51%,2859739, ,%37248%
2371,2017-10-02T13:55:57Z,%69%,27139,%1930%,%51%,2859743, ,%37248%
2371,2017-10-02T13:55:57Z,%69%,%27139%,%1930%,%51%,%2859743%, ,%37248%
2371,2017-10-02T13:55:57Z,%69%,%27139%,%1930%,%51%,%2859743%, ,%37248%
2371,2017-10-02T13:56:33Z,%69%,39997,1570,11,2859807,8628294,%37248%
2371,2017-10-02T13:56:34Z,%69%,38831,%1570%,%11%,%2859807%,%8628294%,%37248%
2371,2017-10-02T13:56:41Z,81,42109,2205,%11%,2859809,8628453,37249
2371,2017-10-02T13:56:43Z,83,45148,%2205%,%11%,%2859809%,%8628453%,%37249%
2371,2017-10-02T13:56:53Z,92,%45148%,1970,%11%,2859838,8628519,%37249%
2371,2017-10-02T13:57:34Z,96,%45148%,1961,69,2859890,%8628519%,37250
2371,2017-10-02T13:57:36Z,97,50544,2012,%69%,2859897,%8628519%,%37250%
2371,2017-10-02T13:57:36Z,%97%,%50544%,%2012%,%69%,%2859897%,%8628519%,%37250%
2371,2017-10-02T13:57:39Z,98,54182,%2012%,%69%,2859906,8629948,%37250%
2371,2017-10-02T13:57:40Z,%98%,53847,2043,%69%,%2859906%,%8629948%,%37250%
2371,2017-10-02T13:58:23Z,97,53050,2026,75,2860006,8631052,37251
2371,2017-10-02T13:58:49Z,99,53682,2052,55,2860059,8631833,37252
2371,2017-10-02T13:59:01Z,96,53045,2038,%55%,2860095,8632184,%37252%
2371,2017-10-02T13:59:05Z,97,52822,%2038%,38,2860101,%8632184%,%37252%
2371,2017-10-02T13:59:15Z,98,%52822%,2062,%38%,2860114,8632291,37253
2371,2017-10-02T14:00:22Z,100,%52822%,2074,47,2860236,%8632291%,37254
2371,2017-10-02T14:00:23Z,%100%,%52822%,%2074%,%47%,2860239,%8632291%,%37254%
2371,2017-10-02T14:00:30Z,99,%52822%,2111,%47%,2860258,%8632291%,37255
2371,2017-10-02T14:00:50Z,101,%52822%,2067,37,2860304,%8632291%,%37255%
2371,2017-10-02T14:00:54Z,%101%,%52822%,2094,%37%,2860312,%8632291%,%37255%
2371,2017-10-02T14:00:55Z,%101%,%52822%,%2094%,%37%,2860318,%8632291%,%37255%
2371,2017-10-02T14:01:24Z,99,%52822%,2071,64,2860375,%8632291%,37256
2371,2017-10-02T14:01:25Z,98,%52822%,%2071%,%64%,2860377,%8632291%,%37256%
2371,2017-10-02T14:01:26Z,99,53192,%2071%,%64%,2860379,%8632291%,%37256%
2371,2017-10-02T14:01:26Z,%99%,%53192%,%2071%,%64%,%2860379%,%8632291%,%37256%
2371,2017-10-02T14:01:27Z,%99%,%53192%,2062,%64%,%2860379%,8636209,%37256%
2371,2017-10-02T14:01:28Z,%99%,53837,%2062%,%64%,2860381,%8636209%,%37256%
2371,2017-10-02T14:01:30Z,%99%,53815,%2062%,%64%,2860384,%8636209%,%37256%
2371,2017-10-02T14:01:33Z,%99%,%53815%,2060,61,2860389,8636286,%37256%
2371,2017-10-02T14:01:34Z,%99%,%53815%,%2060%,%61%,2860392,%8636286%,%37256%
2371,2017-10-02T14:01:40Z,98,%53815%,2080,%61%,2860407,%8636286%,37257
2371,2017-10-02T14:02:19Z,96,%53815%,1993,49,2860479,%8636286%,37258
2371,2017-10-02T14:02:20Z,%96%,%53815%,%1993%,%49%,2860481,%8636286%,%37258%
2371,2017-10-02T14:04:00Z,85,%53815%,1837,47,2860704,%8636286%,37261
2371,2017-10-02T14:04:02Z,80,%53815%,%1837%,%47%,2860706,%8636286%,%37261%
2371,2017-10-02T14:04:03Z,%80%,%53815%,1715,%47%,2860707,%8636286%,%37261%
2371,2017-10-02T14:04:04Z,81,43307,%1715%,100,2860709,%8636286%,%37261%
2371,2017-10-02T14:04:04Z,%81%,%43307%,%1715%,%100%,%2860709%,%8636286%,%37261%
2371,2017-10-02T14:04:04Z,%81%,%43307%,%1715%,%100%,%2860709%,%8636286%,%37261%
2371,2017-10-02T14:04:07Z,84,%43307%,%1715%,%100%,%2860709%,8640659,%37261%
2371,2017-10-02T14:04:11Z,%84%,%43307%,1745,%100%,2860729,8640754,%37261%
2371,2017-10-02T14:04:16Z,%84%,44514,1758,%100%,2860740,%8640754%,%37261%
2371,2017-10-02T14:04:16Z,%84%,%44514%,%1758%,%100%,%2860740%,%8640754%,%37261%
2371,2017-10-02T14:04:18Z,82,38977,1661,%100%,2860742,8640899,%37261%
2371,2017-10-02T14:04:19Z,80,44326,%1661%,%100%,2860743,%8640899%,%37261%
2371,2017-10-02T14:04:24Z,76,43122,1758,%100%,2860748,8640985,%37261%
2371,2017-10-02T14:04:25Z,75,40854,%1758%,%100%,2860749,%8640985%,%37261%
2371,2017-10-02T14:04:30Z,61,33986,1316,%100%,2860752,8641166,%37261%
2371,2017-10-02T14:04:35Z,56,32810,1532,11,2860754,8641233,%37261%
2371,2017-10-02T14:04:41Z,23,%32810%,1254,%11%,2860756,8641250,%37261%
2371,2017-10-02T14:04:42Z,13,0,%1254%,%11%,%2860756%,%8641250%,%37261%
2371,2017-10-02T14:04:43Z,4,%0%,%1254%,%11%,2860757,%8641250%,%37261%
2371,2017-10-02T14:04:46Z,0,10765,790,%11%,%2860757%,8641342,%37261%
2371,2017-10-02T14:04:56Z,%0%,%10765%,714,%11%,2860760,%8641342%,37262
2371,2017-10-02T14:05:37Z,16,%10765%,1031,41,2860772,%8641342%,%37262%
2371,2017-10-02T14:05:38Z,18,%10765%,%1031%,%41%,2860773,%8641342%,%37262%
2371,2017-10-02T14:06:11Z,59,%10765%,1744,39,2860820,%8641342%,%37262%
2371,2017-10-02T14:06:13Z,62,34421,%1744%,%39%,2860822,%8641342%,%37262%
2371,2017-10-02T14:06:13Z,%62%,%34421%,%1744%,%39%,%2860822%,%8641342%,%37262%
2371,2017-10-02T14:06:13Z,%62%,%34421%,%1744%,%39%,%2860822%,%8641342%,%37262%
2371,2017-10-02T14:06:15Z,66,%34421%,1864,%39%,2860824,8641825,%37262%
2371,2017-10-02T14:06:16Z,%66%,%34421%,%1864%,%39%,2860826,%8641825%,%37262%
2371,2017-10-02T14:06:26Z,77,%34421%,1612,%39%,2860849,8641885,%37262%
2371,2017-10-02T14:07:51Z,47,%34421%,1825,11,2860952,%8641885%,37264
2371,2017-10-02T14:08:04Z,70,%34421%,1834,%11%,2860978,%8641885%,%37264%
2371,2017-10-02T14:08:29Z,78,%34421%,1651,61,2861033,%8641885%,%37264%
2371,2017-10-02T14:08:30Z,%78%,%34421%,%1651%,%61%,2861035,%8641885%,37265
2371,2017-10-02T14:09:15Z,69,%34421%,1500,31,2861075,%8641885%,%37265%
2371,2017-10-02T14:10:48Z,66,%34421%,1867,%31%,2861173,%8641885%,37267
2371,2017-10-02T14:11:34Z,80,%34421%,1671,61,2861233,%8641885%,37268
2371,2017-10-02T14:13:28Z,66,%34421%,1363,39,2861393,%8641885%,37270
2371,2017-10-02T14:14:13Z,82,%34421%,1692,58,2861465,%8641885%,37271
2371,2017-10-02T14:16:09Z,79,%34421%,1708,31,2861674,%8641885%,37274
2371,2017-10-02T14:17:02Z,54,%34421%,1625,38,2861775,%8641885%,37275
2371,2017-10-02T14:17:06Z,58,%34421%,1654,%38%,2861780,%8641885%,%37275%
2371,2017-10-02T14:18:25Z,68,%34421%,1986,98,2861924,%8641885%,37277
2371,2017-10-02T14:18:26Z,69,%34421%,1440,%98%,2861927,%8641885%,%37277%
2371,2017-10-02T14:18:30Z,%69%,%34421%,%1440%,%98%,2861936,%8641885%,%37277%
2371,2017-10-02T14:18:31Z,70,%34421%,1444,%98%,2861938,%8641885%,%37277%
2371,2017-10-02T14:18:37Z,71,%34421%,1530,85,2861944,%8641885%,%37277%
2371,2017-10-02T14:18:39Z,72,%34421%,%1530%,%85%,2861946,%8641885%,%37277%
2371,2017-10-02T14:18:46Z,73,%34421%,1585,%85%,2861954,%8641885%,%37277%
2371,2017-10-02T14:18:47Z,%73%,%34421%,%1585%,%85%,2861956,%8641885%,%37277%
2371,2017-10-02T14:18:58Z,70,%34421%,1479,%85%,2861968,%8641885%,%37277%
2371,2017-10-02T14:19:44Z,48,%34421%,1422,11,2862007,%8641885%,37278
2371,2017-10-02T14:19:47Z,%48%,%34421%,1329,%11%,2862008,%8641885%,%37278%
