asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE
2434,2017-10-02T00:17:38Z, ,229, , , , , 
2434,2017-10-02T00:19:28Z, ,0, , , , , 
2434,2017-10-02T00:19:57Z, , , , , , , 
2434,2017-10-02T12:03:30Z, , , , , , , 
2434,2017-10-02T12:03:30Z, , , , , , , 
2434,2017-10-02T12:03:34Z, , , , , , , 
2434,2017-10-02T12:03:37Z, , ,694, , , , 
2434,2017-10-02T12:03:43Z, , , , , , , 
2434,2017-10-02T12:03:45Z, ,345, , , , , 
2434,2017-10-02T12:03:45Z, , , , , , , 
2434,2017-10-02T12:04:02Z, ,950,701, , , , 
2434,2017-10-02T12:04:05Z, ,577, , , , , 
2434,2017-10-02T12:04:07Z, ,551, , , , , 
2434,2017-10-02T12:04:07Z, , , , , , , 
2434,2017-10-02T12:04:08Z, , , , , , , 
2434,2017-10-02T12:04:24Z, ,1180, , ,12717276, , 
2434,2017-10-02T12:04:25Z, , , , , , , 
2434,2017-10-02T12:04:27Z, ,289, , , , , 
2434,2017-10-02T12:04:27Z, , , , , , , 
2434,2017-10-02T12:04:27Z, , , , , , , 
2434,2017-10-02T12:04:31Z, ,72,703, , , , 
2434,2017-10-02T12:04:37Z, ,230, , , , , 
2434,2017-10-02T12:04:41Z, ,0, , ,12717277, , 
2434,2017-10-02T12:04:54Z, , , , ,12717281, , 
2434,2017-10-02T12:04:55Z, , , , , , , 
2434,2017-10-02T12:04:56Z, , , , , , , 
2434,2017-10-02T12:04:56Z, , , , , , , 
2434,2017-10-02T12:04:57Z, , , , , , , 
2434,2017-10-02T12:05:07Z, ,617,995, , , , 
2434,2017-10-02T12:05:09Z, ,0, , , , , 
2434,2017-10-02T12:05:10Z, , , , ,12717282, , 
2434,2017-10-02T12:05:18Z, , , , ,12717284, , 
2434,2017-10-02T12:05:19Z, , , , , , , 
