asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed,distance_speed,distance_cum,delay,fuel
487,2017-10-03 11:03:56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
487,2017-10-03 11:03:56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan
487,2017-10-03 11:03:59,nan,nan,948.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan
487,2017-10-03 11:04:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
487,2017-10-03 11:04:01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
487,2017-10-03 11:04:01,nan,nan,952.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan
487,2017-10-03 11:04:02,nan,nan,nan,nan,3189720.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
487,2017-10-03 11:04:02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan
487,2017-10-03 11:04:32,nan,191.0,949.0,36.0,3189753.0,3271410.0,nan,nan,nan,3271410.0,nan,nan,nan,30.000000000000004,33.0
487,2017-10-03 11:05:03,nan,0.0,948.0,35.0,3189785.0,nan,nan,nan,nan,3271410.0,nan,nan,nan,31.000000000000004,32.0
487,2017-10-03 11:05:33,nan,nan,950.0,33.0,3189815.0,nan,nan,nan,nan,3271410.0,nan,nan,nan,30.000000000000004,30.0
487,2017-10-03 11:06:04,nan,nan,nan,32.0,3189845.0,nan,nan,nan,nan,3271410.0,nan,nan,nan,31.000000000000004,30.0
487,2017-10-03 11:06:34,nan,nan,949.0,31.0,3189873.0,nan,nan,nan,nan,3271410.0,nan,nan,nan,30.000000000000004,28.0
487,2017-10-03 11:07:05,nan,nan,951.0,nan,3189903.0,nan,nan,nan,nan,3271410.0,nan,nan,nan,31.000000000000004,30.0
487,2017-10-03 11:07:35,4.0,651.0,654.0,30.0,3189929.0,nan,nan,nan,4.0,3271410.0,nan,33.33333333333334,nan,30.000000000000004,26.0
487,2017-10-03 11:08:06,0.0,0.0,951.0,29.0,3189952.0,nan,nan,nan,0.0,3271410.0,4.0,0.0,nan,31.000000000000004,23.0
487,2017-10-03 11:08:36,nan,nan,949.0,28.0,3189979.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,30.000000000000004,27.0
487,2017-10-03 11:09:07,nan,nan,951.0,29.0,3190005.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,31.000000000000004,26.0
487,2017-10-03 11:09:38,nan,nan,948.0,28.0,3190033.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,31.000000000000004,28.0
487,2017-10-03 11:10:08,nan,nan,950.0,27.0,3190059.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,30.000000000000004,26.0
487,2017-10-03 11:10:39,nan,nan,nan,28.0,3190085.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,31.000000000000004,26.0
487,2017-10-03 11:11:10,nan,nan,951.0,27.0,3190111.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,31.000000000000004,26.0
487,2017-10-03 11:11:40,nan,nan,949.0,nan,3190136.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,30.000000000000004,25.0
487,2017-10-03 11:12:10,nan,nan,951.0,26.0,3190160.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,30.000000000000004,24.0
487,2017-10-03 11:12:41,nan,nan,950.0,24.0,3190185.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,31.000000000000004,25.0
487,2017-10-03 11:13:11,nan,nan,nan,23.0,3190209.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,30.000000000000004,24.0
487,2017-10-03 11:13:42,nan,nan,951.0,24.0,3190232.0,nan,nan,nan,0.0,3271410.0,2.0,0.0,nan,31.000000000000004,23.0
487,2017-10-03 11:14:01,8.0,4377.0,653.0,28.0,3190247.0,3271443.0,nan,33.0,8.0,3271443.0,2.0,42.22222222222222,nan,19.0,15.0
487,2017-10-03 11:14:31,0.0,0.0,952.0,23.0,3190267.0,3271449.0,nan,6.0,0.0,3271449.0,4.0,0.0,nan,30.000000000000004,20.0
