asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,load_filled,rpm_filled,avrg_speed,acceleration,distance_speed,distance_cum,delay,fuel,filled_speed,filled_meter,filled_load,filled_rpm
487,2017-10-13 10:48:49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False,False
487,2017-10-13 10:48:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,False,False,False,False
487,2017-10-13 10:48:52,nan,nan,685.0,nan,nan,nan,nan,nan,nan,nan,nan,685.0,nan,nan,nan,0.0,2.0,nan,False,False,False,False
487,2017-10-13 10:48:54,5.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,685.0,685.0,nan,nan,2.7777777777777777,2.7777777777777777,2.0,nan,False,False,True,True
487,2017-10-13 10:48:54,6.0,nan,864.0,nan,nan,nan,nan,nan,6.0,nan,685.0,864.0,5.0,-1.0,0.0,2.7777777777777777,0.0,nan,False,False,True,False
487,2017-10-13 10:48:54,nan,nan,nan,nan,nan,nan,nan,nan,6.0,nan,864.0,864.0,5.5,nan,0.0,2.7777777777777777,0.0,nan,True,False,True,True
487,2017-10-13 10:48:56,nan,nan,nan,nan,nan,nan,nan,nan,6.0,nan,864.0,864.0,5.5,nan,3.3333333333333335,6.111111111111111,2.0,nan,True,False,True,True
487,2017-10-13 10:48:57,nan,nan,nan,nan,nan,nan,nan,nan,6.0,nan,864.0,864.0,5.5,nan,1.6666666666666667,7.777777777777778,1.0,nan,True,False,True,True
487,2017-10-13 10:48:58,5.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,864.0,864.0,5.5,1.0,1.3888888888888888,9.166666666666666,1.0,nan,False,False,True,True
487,2017-10-13 10:48:59,3.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,864.0,864.0,5.333333333333333,2.0,0.8333333333333334,10.0,1.0,nan,False,False,True,True
487,2017-10-13 10:49:02,0.0,nan,933.0,nan,3351554.0,nan,nan,nan,0.0,nan,864.0,933.0,4.75,3.0,0.0,10.0,3.0,nan,False,False,True,False
