asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance,delay,fuel,filled
487,2017-10-21 00:59:07,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
487,2017-10-21 00:59:38,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:31,2.76391706e-316,1.0
487,2017-10-21 01:00:08,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:30,6.92724664458505e-310,1.0
487,2017-10-21 01:00:38,nan,777.0,nan,nan,nan,nan,nan,nan,0 days 00:00:30,6.927246644589e-310,1.0
487,2017-10-21 01:00:51,nan,295.0,nan,nan,nan,nan,nan,nan,0 days 00:00:13,6.92724664459295e-310,1.0
487,2017-10-21 01:00:56,nan,0.0,nan,nan,nan,nan,nan,nan,0 days 00:00:05,6.9272466445969e-310,1.0
487,2017-10-21 01:01:27,nan,135.0,nan,nan,nan,nan,nan,nan,0 days 00:00:31,6.92724664460086e-310,1.0
487,2017-10-21 01:01:58,nan,0.0,nan,nan,nan,nan,nan,nan,0 days 00:00:31,6.9272466446048e-310,1.0
487,2017-10-21 01:02:29,nan,389.0,nan,nan,nan,nan,nan,nan,0 days 00:00:31,6.92724664460876e-310,1.0
487,2017-10-21 01:03:00,nan,565.0,nan,nan,nan,nan,nan,nan,0 days 00:00:31,6.9272466446127e-310,1.0
487,2017-10-21 01:03:31,nan,0.0,nan,nan,nan,nan,nan,nan,0 days 00:00:31,6.9272466413349e-310,1.0
487,2017-10-21 01:04:01,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:30,6.92724664461667e-310,1.0
487,2017-10-21 01:04:32,nan,2215.0,nan,nan,nan,nan,nan,nan,0 days 00:00:31,5.53e-322,1.0
487,2017-10-21 01:05:02,nan,4446.0,nan,nan,nan,nan,nan,nan,0 days 00:00:30,5.53e-322,1.0
487,2017-10-21 01:05:21,nan,0.0,nan,nan,nan,nan,nan,nan,0 days 00:00:19,2.76384275e-316,1.0
487,2017-10-21 01:05:23,nan,4274.0,nan,nan,nan,nan,nan,nan,0 days 00:00:02,6.92724663993016e-310,1.0
487,2017-10-21 01:05:26,nan,4393.0,nan,nan,nan,nan,nan,nan,0 days 00:00:03,6.9272466446285e-310,1.0
487,2017-10-21 01:05:53,nan,0.0,964.0,nan,nan,nan,nan,nan,0 days 00:00:27,6.9272466446325e-310,1.0
